LOAD_OPTION,PLUGIN_NAME,PLUGIN_TYPE,PLUGIN_AUTHOR,PLUGIN_STATUS,PLUGIN_LIBRARY,PLUGIN_LICENSE,PLUGIN_VERSION,PLUGIN_DESCRIPTION,PLUGIN_TYPE_VERSION,PLUGIN_LIBRARY_VERSION
FORCE,binlog,STORAGE ENGINE,Oracle Corporation,ACTIVE,NULL,GPL,1.0,This is a pseudo storage engine to represent the binlog in a transaction,80022.0,NULL
FORCE,mysql_native_password,AUTHENTICATION,Oracle Corporation,ACTIVE,NULL,GPL,1.1,Native MySQL authentication,2.0,NULL
FORCE,sha256_password,AUTHENTICATION,Oracle Corporation,ACTIVE,NULL,GPL,1.1,SHA256 password authentication,2.0,NULL
FORCE,caching_sha2_password,AUTHENTICATION,Oracle Corporation,ACTIVE,NULL,GPL,1.0,Caching sha2 authentication,2.0,NULL
FORCE,sha2_cache_cleaner,AUDIT,Oracle Corporation,ACTIVE,NULL,GPL,1.0,Cache cleaner for Caching sha2 authentication,4.1,NULL
FORCE,CSV,STORAGE ENGINE,Oracle Corporation,ACTIVE,NULL,GPL,1.0,CSV storage engine,80022.0,NULL
FORCE,MEMORY,STORAGE ENGINE,Oracle Corporation,ACTIVE,NULL,GPL,1.0,"Hash based, stored in memory, useful for temporary tables",80022.0,NULL
FORCE,InnoDB,STORAGE ENGINE,Oracle Corporation,ACTIVE,NULL,GPL,8.0,"Supports transactions, row-level locking, and foreign keys",80022.0,NULL
FORCE,INNODB_TRX,INFORMATION SCHEMA,Oracle Corporation,ACTIVE,NULL,GPL,8.2,InnoDB transactions,80022.0,NULL
FORCE,INNODB_CMP,INFORMATION SCHEMA,Oracle Corporation,ACTIVE,NULL,GPL,8.2,Statistics for the InnoDB compression,80022.0,NULL
FORCE,INNODB_CMP_RESET,INFORMATION SCHEMA,Oracle Corporation,ACTIVE,NULL,GPL,8.2,Statistics for the InnoDB compression; reset cumulated counts,80022.0,NULL
FORCE,INNODB_CMPMEM,INFORMATION SCHEMA,Oracle Corporation,ACTIVE,NULL,GPL,8.2,Statistics for the InnoDB compressed buffer pool,80022.0,NULL
FORCE,INNODB_CMPMEM_RESET,INFORMATION SCHEMA,Oracle Corporation,ACTIVE,NULL,GPL,8.2,Statistics for the InnoDB compressed buffer pool; reset cumulated counts,80022.0,NULL
FORCE,INNODB_CMP_PER_INDEX,INFORMATION SCHEMA,Oracle Corporation,ACTIVE,NULL,GPL,8.2,Statistics for the InnoDB compression (per index),80022.0,NULL
FORCE,INNODB_CMP_PER_INDEX_RESET,INFORMATION SCHEMA,Oracle Corporation,ACTIVE,NULL,GPL,8.2,Statistics for the InnoDB compression (per index); reset cumulated counts,80022.0,NULL
FORCE,INNODB_BUFFER_PAGE,INFORMATION SCHEMA,Oracle Corporation,ACTIVE,NULL,GPL,8.2,InnoDB Buffer Page Information,80022.0,NULL
FORCE,INNODB_BUFFER_PAGE_LRU,INFORMATION SCHEMA,Oracle Corporation,ACTIVE,NULL,GPL,8.2,InnoDB Buffer Page in LRU,80022.0,NULL
FORCE,INNODB_BUFFER_POOL_STATS,INFORMATION SCHEMA,Oracle Corporation,ACTIVE,NULL,GPL,8.2,InnoDB Buffer Pool Statistics Information ,80022.0,NULL
FORCE,INNODB_TEMP_TABLE_INFO,INFORMATION SCHEMA,Oracle Corporation,ACTIVE,NULL,GPL,8.2,InnoDB Temp Table Stats,80022.0,NULL
FORCE,INNODB_METRICS,INFORMATION SCHEMA,Oracle Corporation,ACTIVE,NULL,GPL,8.2,InnoDB Metrics Info,80022.0,NULL
FORCE,INNODB_FT_DEFAULT_STOPWORD,INFORMATION SCHEMA,Oracle Corporation,ACTIVE,NULL,GPL,8.2,Default stopword list for InnDB Full Text Search,80022.0,NULL
FORCE,INNODB_FT_DELETED,INFORMATION SCHEMA,Oracle Corporation,ACTIVE,NULL,GPL,8.2,INNODB AUXILIARY FTS DELETED TABLE,80022.0,NULL
FORCE,INNODB_FT_BEING_DELETED,INFORMATION SCHEMA,Oracle Corporation,ACTIVE,NULL,GPL,8.2,INNODB AUXILIARY FTS BEING DELETED TABLE,80022.0,NULL
FORCE,INNODB_FT_CONFIG,INFORMATION SCHEMA,Oracle Corporation,ACTIVE,NULL,GPL,8.2,INNODB AUXILIARY FTS CONFIG TABLE,80022.0,NULL
FORCE,INNODB_FT_INDEX_CACHE,INFORMATION SCHEMA,Oracle Corporation,ACTIVE,NULL,GPL,8.2,INNODB AUXILIARY FTS INDEX CACHED,80022.0,NULL
FORCE,INNODB_FT_INDEX_TABLE,INFORMATION SCHEMA,Oracle Corporation,ACTIVE,NULL,GPL,8.2,INNODB AUXILIARY FTS INDEX TABLE,80022.0,NULL
FORCE,INNODB_TABLES,INFORMATION SCHEMA,Oracle Corporation,ACTIVE,NULL,GPL,8.2,InnoDB INNODB_TABLES,80022.0,NULL
FORCE,INNODB_TABLESTATS,INFORMATION SCHEMA,Oracle Corporation,ACTIVE,NULL,GPL,8.2,InnoDB INNODB_TABLESTATS,80022.0,NULL
FORCE,INNODB_INDEXES,INFORMATION SCHEMA,Oracle Corporation,ACTIVE,NULL,GPL,8.2,InnoDB INNODB_INDEXES,80022.0,NULL
FORCE,INNODB_TABLESPACES,INFORMATION SCHEMA,Oracle Corporation,ACTIVE,NULL,GPL,8.2,InnoDB INNODB_TABLESPACES,80022.0,NULL
FORCE,INNODB_COLUMNS,INFORMATION SCHEMA,Oracle Corporation,ACTIVE,NULL,GPL,8.2,InnoDB INNODB_COLUMNS,80022.0,NULL
FORCE,INNODB_VIRTUAL,INFORMATION SCHEMA,Oracle Corporation,ACTIVE,NULL,GPL,8.2,InnoDB INNODB_VIRTUAL,80022.0,NULL
FORCE,INNODB_CACHED_INDEXES,INFORMATION SCHEMA,Oracle Corporation,ACTIVE,NULL,GPL,8.2,InnoDB cached indexes,80022.0,NULL
FORCE,INNODB_SESSION_TEMP_TABLESPACES,INFORMATION SCHEMA,Oracle Corporation,ACTIVE,NULL,GPL,8.0,InnoDB Session Temporary tablespaces,80022.0,NULL
FORCE,MyISAM,STORAGE ENGINE,Oracle Corporation,ACTIVE,NULL,GPL,1.0,MyISAM storage engine,80022.0,NULL
FORCE,MRG_MYISAM,STORAGE ENGINE,Oracle Corporation,ACTIVE,NULL,GPL,1.0,Collection of identical MyISAM tables,80022.0,NULL
FORCE,PERFORMANCE_SCHEMA,STORAGE ENGINE,Oracle Corporation,ACTIVE,NULL,GPL,0.1,Performance Schema,80022.0,NULL
FORCE,TempTable,STORAGE ENGINE,Oracle Corporation,ACTIVE,NULL,GPL,1.0,InnoDB temporary storage engine,80022.0,NULL
ON,ARCHIVE,STORAGE ENGINE,Oracle Corporation,ACTIVE,NULL,GPL,3.0,Archive storage engine,80022.0,NULL
ON,BLACKHOLE,STORAGE ENGINE,Oracle Corporation,ACTIVE,NULL,GPL,1.0,/dev/null storage engine (anything you write to it disappears),80022.0,NULL
OFF,FEDERATED,STORAGE ENGINE,Oracle Corporation,DISABLED,NULL,GPL,1.0,Federated MySQL storage engine,80022.0,NULL
ON,ngram,FTPARSER,Oracle Corporation,ACTIVE,NULL,GPL,0.1,Ngram Full-Text Parser,1.1,NULL
ON,mysqlx_cache_cleaner,AUDIT,Oracle Corporation,ACTIVE,NULL,GPL,1.0,Cache cleaner for sha2 authentication in X plugin,4.1,NULL
ON,mysqlx,DAEMON,Oracle Corporation,ACTIVE,NULL,GPL,1.0,X Plugin for MySQL,80022.0,NULL
ON,auth_socket,AUTHENTICATION,Oracle Corporation,ACTIVE,auth_socket.so,GPL,1.1,Unix Socket based authentication,2.0,1.10

