ENGINE,DATA_FREE,VERSION,CHECK_TIME,TABLE_ROWS,TABLE_TYPE,CHECKSUM,CREATE_TIME,DATA_LENGTH,UPDATE_TIME,INDEX_LENGTH,TABLE_SCHEMA,ROW_FORMAT,TABLE_NAME,TABLE_CATALOG,TABLE_COMMENT,CREATE_OPTIONS,MAX_DATA_LENGTH,TABLE_COLLATION,AUTO_INCREMENT,AVG_ROW_LENGTH
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:03,0,NULL,0,information_schema,NULL,CHARACTER_SETS,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:03,0,NULL,0,information_schema,NULL,CHECK_CONSTRAINTS,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:03,0,NULL,0,information_schema,NULL,COLLATIONS,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:03,0,NULL,0,information_schema,NULL,COLLATION_CHARACTER_SET_APPLICABILITY,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:03,0,NULL,0,information_schema,NULL,COLUMNS,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:03,0,NULL,0,information_schema,NULL,COLUMNS_EXTENSIONS,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:03,0,NULL,0,information_schema,NULL,COLUMN_STATISTICS,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:03,0,NULL,0,information_schema,NULL,EVENTS,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:03,0,NULL,0,information_schema,NULL,FILES,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:03,0,NULL,0,information_schema,NULL,INNODB_DATAFILES,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:03,0,NULL,0,information_schema,NULL,INNODB_FOREIGN,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:03,0,NULL,0,information_schema,NULL,INNODB_FOREIGN_COLS,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:03,0,NULL,0,information_schema,NULL,INNODB_FIELDS,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:03,0,NULL,0,information_schema,NULL,INNODB_TABLESPACES_BRIEF,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:03,0,NULL,0,information_schema,NULL,KEY_COLUMN_USAGE,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:03,0,NULL,0,information_schema,NULL,KEYWORDS,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:03,0,NULL,0,information_schema,NULL,PARAMETERS,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:03,0,NULL,0,information_schema,NULL,PARTITIONS,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:03,0,NULL,0,information_schema,NULL,REFERENTIAL_CONSTRAINTS,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:03,0,NULL,0,information_schema,NULL,RESOURCE_GROUPS,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:03,0,NULL,0,information_schema,NULL,ROUTINES,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:03,0,NULL,0,information_schema,NULL,SCHEMATA,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:03,0,NULL,0,information_schema,NULL,SCHEMATA_EXTENSIONS,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:03,0,NULL,0,information_schema,NULL,ST_SPATIAL_REFERENCE_SYSTEMS,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:03,0,NULL,0,information_schema,NULL,ST_UNITS_OF_MEASURE,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:03,0,NULL,0,information_schema,NULL,ST_GEOMETRY_COLUMNS,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:03,0,NULL,0,information_schema,NULL,STATISTICS,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:03,0,NULL,0,information_schema,NULL,TABLE_CONSTRAINTS,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:03,0,NULL,0,information_schema,NULL,TABLE_CONSTRAINTS_EXTENSIONS,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:03,0,NULL,0,information_schema,NULL,TABLES,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:03,0,NULL,0,information_schema,NULL,TABLES_EXTENSIONS,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:03,0,NULL,0,information_schema,NULL,TABLESPACES_EXTENSIONS,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:03,0,NULL,0,information_schema,NULL,TRIGGERS,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:03,0,NULL,0,information_schema,NULL,VIEW_ROUTINE_USAGE,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:03,0,NULL,0,information_schema,NULL,VIEW_TABLE_USAGE,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:03,0,NULL,0,information_schema,NULL,VIEWS,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:03,0,NULL,0,information_schema,NULL,COLUMN_PRIVILEGES,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:03,0,NULL,0,information_schema,NULL,ENGINES,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:03,0,NULL,0,information_schema,NULL,OPTIMIZER_TRACE,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:03,0,NULL,0,information_schema,NULL,PLUGINS,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:03,0,NULL,0,information_schema,NULL,PROCESSLIST,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:03,0,NULL,0,information_schema,NULL,PROFILING,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:03,0,NULL,0,information_schema,NULL,SCHEMA_PRIVILEGES,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:03,0,NULL,0,information_schema,NULL,TABLESPACES,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:03,0,NULL,0,information_schema,NULL,TABLE_PRIVILEGES,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:03,0,NULL,0,information_schema,NULL,USER_PRIVILEGES,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:05,0,NULL,0,information_schema,NULL,ENABLED_ROLES,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:05,0,NULL,0,information_schema,NULL,APPLICABLE_ROLES,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:05,0,NULL,0,information_schema,NULL,ADMINISTRABLE_ROLE_AUTHORIZATIONS,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:05,0,NULL,0,information_schema,NULL,ROLE_COLUMN_GRANTS,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:05,0,NULL,0,information_schema,NULL,ROLE_ROUTINE_GRANTS,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:05,0,NULL,0,information_schema,NULL,ROLE_TABLE_GRANTS,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:05,0,NULL,0,information_schema,NULL,USER_ATTRIBUTES,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:10,0,NULL,0,information_schema,NULL,INNODB_SESSION_TEMP_TABLESPACES,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:10,0,NULL,0,information_schema,NULL,INNODB_VIRTUAL,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:10,0,NULL,0,information_schema,NULL,INNODB_BUFFER_POOL_STATS,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:10,0,NULL,0,information_schema,NULL,INNODB_BUFFER_PAGE,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:10,0,NULL,0,information_schema,NULL,INNODB_CMPMEM_RESET,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:10,0,NULL,0,information_schema,NULL,INNODB_CMPMEM,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:10,0,NULL,0,information_schema,NULL,INNODB_TRX,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:10,0,NULL,0,information_schema,NULL,INNODB_CMP_PER_INDEX_RESET,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:10,0,NULL,0,information_schema,NULL,INNODB_CMP_RESET,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:10,0,NULL,0,information_schema,NULL,INNODB_FT_DEFAULT_STOPWORD,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:10,0,NULL,0,information_schema,NULL,INNODB_METRICS,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:10,0,NULL,0,information_schema,NULL,INNODB_TEMP_TABLE_INFO,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:10,0,NULL,0,information_schema,NULL,INNODB_FT_DELETED,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:10,0,NULL,0,information_schema,NULL,INNODB_TABLESTATS,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:10,0,NULL,0,information_schema,NULL,INNODB_CMP,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:10,0,NULL,0,information_schema,NULL,INNODB_TABLES,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:10,0,NULL,0,information_schema,NULL,INNODB_FT_BEING_DELETED,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:10,0,NULL,0,information_schema,NULL,INNODB_BUFFER_PAGE_LRU,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:10,0,NULL,0,information_schema,NULL,INNODB_CMP_PER_INDEX,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:10,0,NULL,0,information_schema,NULL,INNODB_FT_CONFIG,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:10,0,NULL,0,information_schema,NULL,INNODB_CACHED_INDEXES,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:10,0,NULL,0,information_schema,NULL,INNODB_FT_INDEX_TABLE,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:10,0,NULL,0,information_schema,NULL,INNODB_COLUMNS,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:10,0,NULL,0,information_schema,NULL,INNODB_FT_INDEX_CACHE,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:10,0,NULL,0,information_schema,NULL,INNODB_INDEXES,def,<blank>,<blank>,0,NULL,NULL,0
NULL,0,10,NULL,0,SYSTEM VIEW,NULL,2020-11-17 13:39:10,0,NULL,0,information_schema,NULL,INNODB_TABLESPACES,def,<blank>,<blank>,0,NULL,NULL,0
InnoDB,0,10,NULL,3,BASE TABLE,NULL,2025-08-01 06:32:05,16384,2025-08-01 06:32:05,0,acuart,Dynamic,artists,def,<blank>,<blank>,0,utf8_unicode_ci,4,5461
InnoDB,0,10,NULL,1,BASE TABLE,NULL,2025-08-01 06:32:05,16384,2025-08-01 06:50:19,0,acuart,Dynamic,carts,def,<blank>,<blank>,0,utf8_unicode_ci,NULL,16384
InnoDB,0,10,NULL,4,BASE TABLE,NULL,2025-08-01 06:32:05,16384,2025-08-01 06:32:05,0,acuart,Dynamic,categ,def,<blank>,<blank>,0,utf8_unicode_ci,5,4096
InnoDB,0,10,NULL,0,BASE TABLE,NULL,2025-08-01 06:32:05,16384,NULL,0,acuart,Dynamic,featured,def,<blank>,<blank>,0,utf8_unicode_ci,NULL,0
InnoDB,0,10,NULL,0,BASE TABLE,NULL,2025-08-01 06:32:05,16384,NULL,0,acuart,Dynamic,guestbook,def,<blank>,<blank>,0,utf8_unicode_ci,NULL,0
InnoDB,0,10,NULL,7,BASE TABLE,NULL,2025-08-01 06:32:05,16384,2025-08-01 06:32:05,0,acuart,Dynamic,pictures,def,<blank>,<blank>,0,utf8_unicode_ci,8,2340
InnoDB,0,10,NULL,0,BASE TABLE,NULL,2025-08-01 06:32:05,16384,2025-08-01 06:50:19,0,acuart,Dynamic,users,def,<blank>,<blank>,0,utf8_unicode_ci,NULL,0
InnoDB,0,10,NULL,3,BASE TABLE,NULL,2025-08-01 06:32:05,16384,2025-08-01 06:32:05,0,acuart,Dynamic,products,def,<blank>,<blank>,0,latin1_swedish_ci,4,5461

